build_year,facades,garden,living_area,locality_name,number_rooms,postal_code,price,property_id,property_type,property_url,state,swimming_pool,terrace,province,property_type_name,state_mapped
2008,4.0,1,350,Énines,6,1350.0,785000.0,vbd49789,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/enines/vbd49789,,1,1,Walloon Brabant,house,
1967,3.0,1,157,Kapelle-op-den-Bos,3,1880.0,385000.0,rbu67404,Residence,https://immovlan.be/en/detail/residence/for-sale/1880/kapelle-op-den-bos/rbu67404,Normal,0,1,Flemish Brabant,house,ready_to_move_in
2023,,0,98,Wavre,2,1300.0,345000.0,vbd22322,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd22322,New,0,1,Walloon Brabant,apartment,ready_to_move_in
1928,,1,155,Jandrain-Jandrenouille,3,1350.0,290000.0,vbd18818,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/jandrain-jandrenouille/vbd18818,Normal,0,1,Walloon Brabant,house,ready_to_move_in
1965,4.0,1,125,Kapelle-op-den-Bos,3,1880.0,395000.0,rbu69001,Residence,https://immovlan.be/en/detail/residence/for-sale/1880/kapelle-op-den-bos/rbu69001,To be renovated,0,1,Flemish Brabant,house,to_renovate
,,0,68,Wavre,1,1300.0,220000.0,vbd23325,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd23325,Normal,0,1,Walloon Brabant,apartment,ready_to_move_in
1965,4.0,1,550,Jandrain-Jandrenouille,7,1350.0,990000.0,vbd46747,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/jandrain-jandrenouille/vbd46747,Excellent,1,1,Walloon Brabant,house,ready_to_move_in
1989,3.0,1,286,Kapelle-op-den-Bos,4,1880.0,450000.0,rbu69002,Residence,https://immovlan.be/en/detail/residence/for-sale/1880/kapelle-op-den-bos/rbu69002,Normal,0,1,Flemish Brabant,house,ready_to_move_in
,,0,74,Wavre,2,1300.0,245000.0,vbd23746,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd23746,Normal,0,1,Walloon Brabant,apartment,ready_to_move_in
,3.0,1,194,Jandrain-Jandrenouille,4,1350.0,285000.0,vwd14382,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/jandrain-jandrenouille/vwd14382,To be renovated,0,1,Walloon Brabant,house,to_renovate
1972,4.0,1,716,Kampenhout,5,1910.0,1190000.0,rbu59387,Residence,https://immovlan.be/en/detail/residence/for-sale/1910/kampenhout/rbu59387,,1,,Flemish Brabant,house,
,,0,90,Wavre,2,1300.0,280000.0,vbd24613,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd24613,Normal,0,1,Walloon Brabant,apartment,ready_to_move_in
1850,2.0,1,142,Jauche,3,1350.0,245000.0,vbd10208,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/jauche/vbd10208,To be renovated,0,1,Walloon Brabant,house,to_renovate
,,0,74,Wavre,2,1300.0,245000.0,vbd24615,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd24615,Normal,0,1,Walloon Brabant,apartment,ready_to_move_in
1978,4.0,1,162,Kampenhout,3,1910.0,499000.0,rbu62801,Residence,https://immovlan.be/en/detail/residence/for-sale/1910/kampenhout/rbu62801,Excellent,0,1,Flemish Brabant,house,ready_to_move_in
1850,3.0,1,148,Jauche,3,1350.0,175000.0,vbd28992,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/jauche/vbd28992,To be renovated,0,1,Walloon Brabant,house,to_renovate
,3.0,0,135,Kampenhout,3,1910.0,511000.0,rbu67910,Residence,https://immovlan.be/en/detail/residence/for-sale/1910/kampenhout/rbu67910,New,0,0,Flemish Brabant,house,ready_to_move_in
2021,,0,99,Wavre,2,1300.0,335000.0,vbd25009,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd25009,New,0,1,Walloon Brabant,apartment,ready_to_move_in
,,0,,Jauche,3,1350.0,174000.0,vbd33187,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/jauche/vbd33187,,0,0,Walloon Brabant,house,
2025,4.0,0,95,Wavre,2,1300.0,331500.0,vbd25398,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd25398,New,0,0,Walloon Brabant,apartment,ready_to_move_in
,4.0,1,297,Kampenhout,4,1910.0,360000.0,rwc41088,Residence,https://immovlan.be/en/detail/residence/for-sale/1910/kampenhout/rwc41088,To be renovated,0,1,Flemish Brabant,house,to_renovate
1875,3.0,1,230,Jauche,5,1350.0,239000.0,vbd45812,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/jauche/vbd45812,To be renovated,0,1,Walloon Brabant,house,to_renovate
,,0,92,Wavre,2,1300.0,356500.0,vbd25399,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd25399,New,0,1,Walloon Brabant,apartment,ready_to_move_in
,3.0,1,196,Nossegem,4,1930.0,549000.0,rbu27398,Residence,https://immovlan.be/en/detail/residence/for-sale/1930/nossegem/rbu27398,,0,1,Flemish Brabant,house,
2003,3.0,1,150,Jauche,3,1350.0,345000.0,vbd51012,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/jauche/vbd51012,,0,1,Walloon Brabant,house,
,4.0,0,118,Wavre,2,1300.0,442200.0,vbd25400,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd25400,New,0,1,Walloon Brabant,apartment,ready_to_move_in
2012,,1,160,Nossegem,3,1930.0,455000.0,rbu33111,Residence,https://immovlan.be/en/detail/residence/for-sale/1930/nossegem/rbu33111,Normal,0,1,Flemish Brabant,house,ready_to_move_in
1830,3.0,1,264,Marilles,3,1350.0,225000.0,vbd00804,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/marilles/vbd00804,To be renovated,0,1,Walloon Brabant,house,to_renovate
,4.0,0,140,Wavre,3,1300.0,488500.0,vbd25401,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd25401,New,0,1,Walloon Brabant,apartment,ready_to_move_in
,4.0,1,155,Noduwez,3,1350.0,220000.0,vbd26141,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/noduwez/vbd26141,To be renovated,0,0,Walloon Brabant,house,to_renovate
,3.0,0,391,Nossegem,8,1930.0,469000.0,rbu47747,Residence,https://immovlan.be/en/detail/residence/for-sale/1930/nossegem/rbu47747,,0,1,Flemish Brabant,house,
,4.0,0,151,Wavre,3,1300.0,518500.0,vbd25402,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd25402,New,0,1,Walloon Brabant,apartment,ready_to_move_in
1880,3.0,1,310,Noduwez,4,1350.0,745000.0,vbd46828,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/noduwez/vbd46828,Excellent,1,1,Walloon Brabant,house,ready_to_move_in
,2.0,1,197,Nossegem,4,1930.0,620000.0,rbu60269,Residence,https://immovlan.be/en/detail/residence/for-sale/1930/nossegem/rbu60269,,0,1,Flemish Brabant,house,
1970,2.0,0,85,Wavre,2,1300.0,275000.0,vbd25572,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd25572,,0,0,Walloon Brabant,apartment,
2023,3.0,1,174,Orp-Jauche,3,1350.0,456500.0,vbd08316,Residence,https://immovlan.be/en/detail/residence/for-sale/1350/orp-jauche/vbd08316,New,0,0,Walloon Brabant,house,ready_to_move_in
2013,3.0,1,238,Nossegem,4,1930.0,625000.0,rbu65999,Residence,https://immovlan.be/en/detail/residence/for-sale/1930/nossegem/rbu65999,Excellent,0,1,Flemish Brabant,house,ready_to_move_in
1970,2.0,0,100,Wavre,2,1300.0,275000.0,vbd26142,Apartment,https://immovlan.be/en/detail/apartment/for-sale/1300/wavre/vbd26142,,0,1,Walloon Brabant,apartment,
