build_year,facades,garden,living_area,locality_name,number_rooms,postal_code,price,property_id,property_type,property_url,state,swimming_pool,terrace,province,property_type_name,state_mapped
1990,4.0,1,275,Lasne,5,1380.0,850000.0,rbu62642,Villa,https://immovlan.be/en/detail/villa/for-sale/1380/lasne/rbu62642,Excellent,0,1,Walloon Brabant,exceptional,ready_to_move_in
1995,,0,74,Leuven,2,3000.0,395000.0,rbu55534,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3000/leuven/rbu55534,,0,1,Flemish Brabant,apartment,
1970,4.0,1,310,Lasne,4,1380.0,895000.0,rbu65815,Villa,https://immovlan.be/en/detail/villa/for-sale/1380/lasne/rbu65815,Normal,1,1,Walloon Brabant,exceptional,ready_to_move_in
1935,3.0,1,190,Court-Saint-Étienne,3,1490.0,395000.0,vbd16706,Residence,https://immovlan.be/en/detail/residence/for-sale/1490/court-saint-etienne/vbd16706,Normal,0,1,Walloon Brabant,house,ready_to_move_in
,,0,55,Leuven,1,3000.0,399000.0,rbu61537,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3000/leuven/rbu61537,,0,1,Flemish Brabant,apartment,
1973,4.0,1,210,Lasne,4,1380.0,785000.0,rbu66101,Villa,https://immovlan.be/en/detail/villa/for-sale/1380/lasne/rbu66101,Normal,1,1,Walloon Brabant,exceptional,ready_to_move_in
,4.0,1,130,Court-Saint-Étienne,4,1490.0,399000.0,vbd19973,Residence,https://immovlan.be/en/detail/residence/for-sale/1490/court-saint-etienne/vbd19973,Normal,0,1,Walloon Brabant,house,ready_to_move_in
2015,,0,18,Leuven,1,3000.0,130000.0,rbu62716,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3000/leuven/rbu62716,,0,1,Flemish Brabant,apartment,
1970,4.0,1,125,Lasne,3,1380.0,565000.0,rbu66825,Villa,https://immovlan.be/en/detail/villa/for-sale/1380/lasne/rbu66825,Normal,0,1,Walloon Brabant,exceptional,ready_to_move_in
,4.0,1,145,Court-Saint-Étienne,4,1490.0,425000.0,vbd48177,Residence,https://immovlan.be/en/detail/residence/for-sale/1490/court-saint-etienne/vbd48177,New,0,1,Walloon Brabant,house,ready_to_move_in
2015,,0,18,Leuven,1,3000.0,127000.0,rbu65684,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3000/leuven/rbu65684,,0,0,Flemish Brabant,apartment,
1980,4.0,1,230,Lasne,4,1380.0,765000.0,rbu66828,Villa,https://immovlan.be/en/detail/villa/for-sale/1380/lasne/rbu66828,Normal,0,1,Walloon Brabant,exceptional,ready_to_move_in
1930,4.0,1,180,Court-Saint-Étienne,4,1490.0,445000.0,vbd52123,Residence,https://immovlan.be/en/detail/residence/for-sale/1490/court-saint-etienne/vbd52123,Excellent,0,1,Walloon Brabant,house,ready_to_move_in
,,0,92,Leuven,2,3000.0,489000.0,rbu66716,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3000/leuven/rbu66716,,0,1,Flemish Brabant,apartment,
1992,4.0,1,185,Lasne,3,1380.0,635000.0,rbu66833,Villa,https://immovlan.be/en/detail/villa/for-sale/1380/lasne/rbu66833,Normal,0,1,Walloon Brabant,exceptional,ready_to_move_in
,4.0,1,203,Marbais,4,1495.0,445000.0,vbd06516,Residence,https://immovlan.be/en/detail/residence/for-sale/1495/marbais/vbd06516,To be renovated,0,1,Walloon Brabant,house,to_renovate
1975,4.0,0,140,Leuven,3,3000.0,525000.0,rbu67184,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3000/leuven/rbu67184,,0,1,Flemish Brabant,apartment,
2008,4.0,1,325,Lasne,5,1380.0,1445000.0,vbd13082,Villa,https://immovlan.be/en/detail/villa/for-sale/1380/lasne/vbd13082,Excellent,0,1,Walloon Brabant,exceptional,ready_to_move_in
,3.0,0,120,Marbais,3,1495.0,250000.0,vbd08818,Residence,https://immovlan.be/en/detail/residence/for-sale/1495/marbais/vbd08818,Fully renovated,0,0,Walloon Brabant,house,ready_to_move_in
2004,4.0,1,200,Lasne,4,1380.0,795000.0,vbd15177,Villa,https://immovlan.be/en/detail/villa/for-sale/1380/lasne/vbd15177,Normal,0,1,Walloon Brabant,exceptional,ready_to_move_in
,2.0,1,103,Marbais,2,1495.0,210000.0,vbd19968,Residence,https://immovlan.be/en/detail/residence/for-sale/1495/marbais/vbd19968,Normal,0,1,Walloon Brabant,house,ready_to_move_in
1969,3.0,0,110,Leuven,3,3000.0,379000.0,rbu68969,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3000/leuven/rbu68969,,0,1,Flemish Brabant,apartment,
1935,4.0,1,231,Lasne,4,1380.0,750000.0,vbd21332,Villa,https://immovlan.be/en/detail/villa/for-sale/1380/lasne/vbd21332,Excellent,0,1,Walloon Brabant,exceptional,ready_to_move_in
,3.0,1,287,Marbais,4,1495.0,415000.0,vbd29320,Residence,https://immovlan.be/en/detail/residence/for-sale/1495/marbais/vbd29320,To be renovated,0,1,Walloon Brabant,house,to_renovate
1976,2.0,0,57,Leuven,1,3000.0,259000.0,rbu70116,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3000/leuven/rbu70116,To be renovated,0,0,Flemish Brabant,apartment,to_renovate
1975,3.0,1,287,Marbais,6,1495.0,415000.0,vbd30523,Residence,https://immovlan.be/en/detail/residence/for-sale/1495/marbais/vbd30523,To be renovated,0,1,Walloon Brabant,house,to_renovate
1972,4.0,1,300,Lasne,4,1380.0,1190000.0,vbd29886,Villa,https://immovlan.be/en/detail/villa/for-sale/1380/lasne/vbd29886,Fully renovated,0,1,Walloon Brabant,exceptional,ready_to_move_in
1976,2.0,0,85,Leuven,2,3000.0,430000.0,rbu70155,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3000/leuven/rbu70155,,0,1,Flemish Brabant,apartment,
1970,4.0,1,199,Lasne,3,1380.0,495000.0,vbd31856,Villa,https://immovlan.be/en/detail/villa/for-sale/1380/lasne/vbd31856,To be renovated,0,1,Walloon Brabant,exceptional,to_renovate
,2.0,0,130,Marbais,3,1495.0,175000.0,vbd36968,Residence,https://immovlan.be/en/detail/residence/for-sale/1495/marbais/vbd36968,To be renovated,0,1,Walloon Brabant,house,to_renovate
1980,,0,55,Heverlee,1,3001.0,115000.0,rbt40471,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3001/heverlee/rbt40471,Normal,0,1,Flemish Brabant,apartment,ready_to_move_in
1984,4.0,1,299,Lasne,5,1380.0,775000.0,vbd35964,Villa,https://immovlan.be/en/detail/villa/for-sale/1380/lasne/vbd35964,Excellent,0,1,Walloon Brabant,exceptional,ready_to_move_in
1850,2.0,1,160,Marbais,3,1495.0,315000.0,vbd43202,Residence,https://immovlan.be/en/detail/residence/for-sale/1495/marbais/vbd43202,Normal,0,1,Walloon Brabant,house,ready_to_move_in
2022,4.0,1,222,Heverlee,4,3001.0,1150000.0,rbu48590,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3001/heverlee/rbu48590,New,0,1,Flemish Brabant,apartment,ready_to_move_in
1970,4.0,1,614,Lasne,6,1380.0,1675000.0,vbd37578,Villa,https://immovlan.be/en/detail/villa/for-sale/1380/lasne/vbd37578,To renovate,1,1,Walloon Brabant,exceptional,to_renovate
1972,4.0,1,130,Marbais,4,1495.0,370000.0,vbd50646,Residence,https://immovlan.be/en/detail/residence/for-sale/1495/marbais/vbd50646,Normal,0,0,Walloon Brabant,house,ready_to_move_in
1980,2.0,1,55,Heverlee,1,3001.0,95000.0,rbu61578,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3001/heverlee/rbu61578,,0,1,Flemish Brabant,apartment,
2016,4.0,1,425,Lasne,3,1380.0,2200000.0,vbd38375,Villa,https://immovlan.be/en/detail/villa/for-sale/1380/lasne/vbd38375,Excellent,0,1,Walloon Brabant,exceptional,ready_to_move_in
2025,4.0,1,125,Sart-Dames-Avelines,3,1495.0,375000.0,vbd24620,Residence,https://immovlan.be/en/detail/residence/for-sale/1495/sart-dames-avelines/vbd24620,New,0,1,Walloon Brabant,house,ready_to_move_in
2012,2.0,0,144,Heverlee,4,3001.0,663000.0,rbu63280,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3001/heverlee/rbu63280,Normal,0,1,Flemish Brabant,apartment,ready_to_move_in
1800,4.0,1,253,Lasne,5,1380.0,775000.0,vbd44045,Villa,https://immovlan.be/en/detail/villa/for-sale/1380/lasne/vbd44045,Normal,0,1,Walloon Brabant,exceptional,ready_to_move_in
,3.0,1,130,Sart-Dames-Avelines,4,1495.0,280000.0,vbd48487,Residence,https://immovlan.be/en/detail/residence/for-sale/1495/sart-dames-avelines/vbd48487,To be renovated,0,,Walloon Brabant,house,to_renovate
1973,2.0,0,50,Kessel-Lo,1,3010.0,215000.0,rbu61579,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3010/kessel-lo/rbu61579,To be renovated,0,1,Flemish Brabant,apartment,to_renovate
1991,4.0,1,160,Lasne,2,1380.0,550000.0,vbd45828,Villa,https://immovlan.be/en/detail/villa/for-sale/1380/lasne/vbd45828,Excellent,0,1,Walloon Brabant,exceptional,ready_to_move_in
1996,4.0,1,105,Villers-la-Ville,2,1495.0,350000.0,vbc60853,Residence,https://immovlan.be/en/detail/residence/for-sale/1495/villers-la-ville/vbc60853,Normal,0,1,Walloon Brabant,house,ready_to_move_in
,2.0,1,70,Herent,2,3020.0,290000.0,rbu48910,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3020/herent/rbu48910,Excellent,0,1,Flemish Brabant,apartment,ready_to_move_in
1974,4.0,1,345,Lasne,6,1380.0,1075000.0,vbd46165,Villa,https://immovlan.be/en/detail/villa/for-sale/1380/lasne/vbd46165,Normal,0,1,Walloon Brabant,exceptional,ready_to_move_in
1975,4.0,1,161,Villers-la-Ville,4,1495.0,345000.0,vbd17009,Residence,https://immovlan.be/en/detail/residence/for-sale/1495/villers-la-ville/vbd17009,To be renovated,1,1,Walloon Brabant,house,to_renovate
2025,4.0,1,82,Herent,2,3020.0,399775.0,rbu62125,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3020/herent/rbu62125,New,0,1,Flemish Brabant,apartment,ready_to_move_in
1973,4.0,1,338,Lasne,5,1380.0,795000.0,vbd51039,Villa,https://immovlan.be/en/detail/villa/for-sale/1380/lasne/vbd51039,To renovate,0,1,Walloon Brabant,exceptional,to_renovate
,3.0,0,,Villers-la-Ville,4,1495.0,450000.0,vbd17343,Residence,https://immovlan.be/en/detail/residence/for-sale/1495/villers-la-ville/vbd17343,,0,,Walloon Brabant,house,
2025,4.0,1,102,Herent,2,3020.0,458222.0,rbu62126,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3020/herent/rbu62126,New,0,1,Flemish Brabant,apartment,ready_to_move_in
1962,4.0,1,240,Lasne,3,1380.0,895000.0,vwd14743,Villa,https://immovlan.be/en/detail/villa/for-sale/1380/lasne/vwd14743,Excellent,1,1,Walloon Brabant,exceptional,ready_to_move_in
1960,4.0,1,184,Villers-la-Ville,4,1495.0,499000.0,vbd19971,Residence,https://immovlan.be/en/detail/residence/for-sale/1495/villers-la-ville/vbd19971,Normal,0,1,Walloon Brabant,house,ready_to_move_in
2025,4.0,1,92,Herent,2,3020.0,427576.0,rbu62127,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3020/herent/rbu62127,New,0,1,Flemish Brabant,apartment,ready_to_move_in
2001,4.0,1,185,Lasne,3,1380.0,825000.0,vwd14754,Villa,https://immovlan.be/en/detail/villa/for-sale/1380/lasne/vwd14754,Excellent,0,1,Walloon Brabant,exceptional,ready_to_move_in
1900,4.0,1,203,Villers-la-Ville,4,1495.0,350000.0,vbd31059,Residence,https://immovlan.be/en/detail/residence/for-sale/1495/villers-la-ville/vbd31059,Normal,0,0,Walloon Brabant,house,ready_to_move_in
2025,4.0,1,112,Herent,3,3020.0,521700.0,rbu64958,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3020/herent/rbu64958,New,0,1,Flemish Brabant,apartment,ready_to_move_in
,4.0,1,349,Lasne,5,1380.0,890000.0,vwd15478,Villa,https://immovlan.be/en/detail/villa/for-sale/1380/lasne/vwd15478,Normal,1,1,Walloon Brabant,exceptional,ready_to_move_in
1935,3.0,1,142,Villers-la-Ville,4,1495.0,285000.0,vbd33376,Residence,https://immovlan.be/en/detail/residence/for-sale/1495/villers-la-ville/vbd33376,,0,1,Walloon Brabant,house,
2025,4.0,1,91,Herent,2,3020.0,427811.0,rbu64959,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3020/herent/rbu64959,New,0,1,Flemish Brabant,apartment,ready_to_move_in
1980,4.0,1,287,Grez-Doiceau,4,1390.0,830000.0,vbd23643,Villa,https://immovlan.be/en/detail/villa/for-sale/1390/grez-doiceau/vbd23643,Normal,0,1,Walloon Brabant,exceptional,ready_to_move_in
,3.0,1,,Villers-la-Ville,3,1495.0,325000.0,vbd39409,Residence,https://immovlan.be/en/detail/residence/for-sale/1495/villers-la-ville/vbd39409,,0,1,Walloon Brabant,house,
2025,,0,121,Leefdaal,2,3061.0,465000.0,rbu50823,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3061/leefdaal/rbu50823,New,0,1,Flemish Brabant,apartment,ready_to_move_in
1980,4.0,1,300,Grez-Doiceau,4,1390.0,1580000.0,vbd23971,Villa,https://immovlan.be/en/detail/villa/for-sale/1390/grez-doiceau/vbd23971,Normal,0,1,Walloon Brabant,exceptional,ready_to_move_in
1980,4.0,0,249,Villers-la-Ville,4,1495.0,399000.0,vbd40936,Residence,https://immovlan.be/en/detail/residence/for-sale/1495/villers-la-ville/vbd40936,To be renovated,0,1,Walloon Brabant,house,to_renovate
1990,2.0,0,85,Kortenberg,2,3070.0,315000.0,rbu67528,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3070/kortenberg/rbu67528,,0,1,Flemish Brabant,apartment,
1983,4.0,1,365,Grez-Doiceau,5,1390.0,649000.0,vbd51008,Villa,https://immovlan.be/en/detail/villa/for-sale/1390/grez-doiceau/vbd51008,Normal,0,1,Walloon Brabant,exceptional,ready_to_move_in
1935,3.0,1,142,Villers-la-Ville,1,1495.0,195000.0,vbd41694,Residence,https://immovlan.be/en/detail/residence/for-sale/1495/villers-la-ville/vbd41694,To be renovated,0,1,Walloon Brabant,house,to_renovate
1952,4.0,1,150,Nivelles,4,1400.0,485000.0,vbd24950,Villa,https://immovlan.be/en/detail/villa/for-sale/1400/nivelles/vbd24950,To be renovated,0,0,Walloon Brabant,exceptional,to_renovate
2014,3.0,0,75,Tervuren,2,3080.0,349000.0,rbt99663,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3080/tervuren/rbt99663,,0,1,Flemish Brabant,apartment,
1935,3.0,1,142,Villers-la-Ville,1,1495.0,245000.0,vbd43839,Residence,https://immovlan.be/en/detail/residence/for-sale/1495/villers-la-ville/vbd43839,To be renovated,0,1,Walloon Brabant,house,to_renovate
1988,4.0,1,121,Nivelles,3,1400.0,395000.0,vbd35444,Villa,https://immovlan.be/en/detail/villa/for-sale/1400/nivelles/vbd35444,To renovate,0,1,Walloon Brabant,exceptional,to_renovate
1969,2.0,0,94,Tervuren,2,3080.0,290000.0,vbd49361,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3080/tervuren/vbd49361,To be renovated,0,1,Flemish Brabant,apartment,to_renovate
2025,4.0,1,166,Villers-la-Ville,5,1495.0,475000.0,vbd51259,Residence,https://immovlan.be/en/detail/residence/for-sale/1495/villers-la-ville/vbd51259,New,0,0,Walloon Brabant,house,ready_to_move_in
1995,4.0,1,240,Waterloo,4,1410.0,845000.0,vbc93712,Villa,https://immovlan.be/en/detail/villa/for-sale/1410/waterloo/vbc93712,Normal,0,1,Walloon Brabant,exceptional,ready_to_move_in
2020,,0,81,Werchter,2,3118.0,250000.0,rbu65040,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3118/werchter/rbu65040,,0,1,Flemish Brabant,apartment,
1980,4.0,1,276,Halle,3,1500.0,899000.0,rbs36833,Residence,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbs36833,Excellent,0,1,Flemish Brabant,house,ready_to_move_in
1956,4.0,1,140,Waterloo,3,1410.0,595000.0,vbd08243,Villa,https://immovlan.be/en/detail/villa/for-sale/1410/waterloo/vbd08243,Excellent,0,1,Walloon Brabant,exceptional,ready_to_move_in
2005,2.0,1,121,Begijnendijk,2,3130.0,310000.0,rbu37683,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3130/begijnendijk/rbu37683,Excellent,0,1,Flemish Brabant,apartment,ready_to_move_in
1905,4.0,1,150,Halle,2,1500.0,299000.0,rbt30060,Residence,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbt30060,To renovate,0,0,Flemish Brabant,house,to_renovate
,4.0,1,186,Waterloo,3,1410.0,470000.0,vbd09641,Villa,https://immovlan.be/en/detail/villa/for-sale/1410/waterloo/vbd09641,To renovate,0,1,Walloon Brabant,exceptional,to_renovate
,,0,129,Begijnendijk,2,3130.0,398000.0,rbu70515,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3130/begijnendijk/rbu70515,,0,1,Flemish Brabant,apartment,
,3.0,1,120,Halle,4,1500.0,360000.0,rbt91558,Residence,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbt91558,To renovate,0,1,Flemish Brabant,house,to_renovate
1979,4.0,1,195,Waterloo,5,1410.0,765000.0,vbd09743,Villa,https://immovlan.be/en/detail/villa/for-sale/1410/waterloo/vbd09743,Normal,1,1,Walloon Brabant,exceptional,ready_to_move_in
1978,3.0,1,137,Keerbergen,3,3140.0,335000.0,rbu50730,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3140/keerbergen/rbu50730,,0,1,Flemish Brabant,apartment,
,,0,426,Halle,7,1500.0,590000.0,rbu03787,Residence,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbu03787,Normal,0,0,Flemish Brabant,house,ready_to_move_in
1988,4.0,1,146,Waterloo,3,1410.0,549000.0,vbd14750,Villa,https://immovlan.be/en/detail/villa/for-sale/1410/waterloo/vbd14750,Normal,0,1,Walloon Brabant,exceptional,ready_to_move_in
1981,2.0,1,105,Haacht,3,3150.0,298000.0,rbu69755,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3150/haacht/rbu69755,,0,1,Flemish Brabant,apartment,
1964,4.0,1,200,Waterloo,5,1410.0,620000.0,vbd16149,Villa,https://immovlan.be/en/detail/villa/for-sale/1410/waterloo/vbd16149,To be renovated,0,1,Walloon Brabant,exceptional,to_renovate
,,1,171,Halle,4,1500.0,399000.0,rbu23819,Residence,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbu23819,New,0,1,Flemish Brabant,house,ready_to_move_in
2024,2.0,0,102,Aarschot,2,3200.0,359000.0,rbu59214,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3200/aarschot/rbu59214,New,0,1,Flemish Brabant,apartment,ready_to_move_in
1964,4.0,1,272,Waterloo,3,1410.0,955000.0,vbd20540,Villa,https://immovlan.be/en/detail/villa/for-sale/1410/waterloo/vbd20540,Normal,1,1,Walloon Brabant,exceptional,ready_to_move_in
,,1,105,Halle,3,1500.0,265000.0,rbu49305,Residence,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbu49305,To renovate,0,0,Flemish Brabant,house,to_renovate
2023,3.0,1,96,Aarschot,2,3200.0,365000.0,rbu65935,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3200/aarschot/rbu65935,New,0,1,Flemish Brabant,apartment,ready_to_move_in
1992,4.0,1,400,Waterloo,5,1410.0,2075000.0,vbd20684,Villa,https://immovlan.be/en/detail/villa/for-sale/1410/waterloo/vbd20684,Excellent,0,1,Walloon Brabant,exceptional,ready_to_move_in
2011,2.0,1,297,Halle,4,1500.0,498000.0,rbu49659,Residence,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbu49659,,0,1,Flemish Brabant,house,
2023,2.0,1,67,Aarschot,1,3200.0,299000.0,rbu65936,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3200/aarschot/rbu65936,New,0,1,Flemish Brabant,apartment,ready_to_move_in
1951,4.0,1,153,Waterloo,3,1410.0,535000.0,vbd28070,Villa,https://immovlan.be/en/detail/villa/for-sale/1410/waterloo/vbd28070,Excellent,0,1,Walloon Brabant,exceptional,ready_to_move_in
,,0,198,Halle,3,1500.0,599000.0,rbu52079,Residence,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbu52079,Excellent,0,1,Flemish Brabant,house,ready_to_move_in
,4.0,0,80,Aarschot,1,3200.0,275000.0,rbu67343,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3200/aarschot/rbu67343,New,0,1,Flemish Brabant,apartment,ready_to_move_in
2005,4.0,1,220,Waterloo,4,1410.0,1099000.0,vbd30660,Villa,https://immovlan.be/en/detail/villa/for-sale/1410/waterloo/vbd30660,,0,1,Walloon Brabant,exceptional,
1850,2.0,0,317,Halle,,1500.0,425000.0,rbu52300,Residence,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbu52300,,0,0,Flemish Brabant,house,
,4.0,0,113,Aarschot,3,3200.0,363600.0,rbu68619,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3200/aarschot/rbu68619,New,0,1,Flemish Brabant,apartment,ready_to_move_in
1977,4.0,1,200,Waterloo,5,1410.0,595000.0,vbd31569,Villa,https://immovlan.be/en/detail/villa/for-sale/1410/waterloo/vbd31569,To be renovated,0,1,Walloon Brabant,exceptional,to_renovate
,2.0,1,115,Halle,2,1500.0,329000.0,rbu52399,Residence,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbu52399,,0,1,Flemish Brabant,house,
2026,4.0,0,131,Aarschot,3,3200.0,420000.0,rbu68620,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3200/aarschot/rbu68620,New,0,1,Flemish Brabant,apartment,ready_to_move_in
2005,4.0,1,500,Waterloo,5,1410.0,2450000.0,vbd33369,Villa,https://immovlan.be/en/detail/villa/for-sale/1410/waterloo/vbd33369,Excellent,0,1,Walloon Brabant,exceptional,ready_to_move_in
1990,3.0,1,218,Halle,4,1500.0,365000.0,rbu56061,Residence,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbu56061,To be renovated,0,1,Flemish Brabant,house,to_renovate
,,1,105,Aarschot,2,3200.0,350000.0,rbu68621,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3200/aarschot/rbu68621,New,0,1,Flemish Brabant,apartment,ready_to_move_in
1959,4.0,1,324,Waterloo,5,1410.0,995000.0,vbd35667,Villa,https://immovlan.be/en/detail/villa/for-sale/1410/waterloo/vbd35667,To restore,0,1,Walloon Brabant,exceptional,to_renovate
1971,,1,156,Halle,2,1500.0,355000.0,rbu56331,Residence,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbu56331,To renovate,0,1,Flemish Brabant,house,to_renovate
1994,,0,125,Aarschot,3,3200.0,298000.0,rbu69412,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3200/aarschot/rbu69412,,0,1,Flemish Brabant,apartment,
1925,4.0,1,370,Waterloo,6,1410.0,995000.0,vbd35675,Villa,https://immovlan.be/en/detail/villa/for-sale/1410/waterloo/vbd35675,To be renovated,0,1,Walloon Brabant,exceptional,to_renovate
2025,2.0,1,208,Halle,3,1500.0,469000.0,rbu56910,Residence,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbu56910,,0,1,Flemish Brabant,house,
,,1,86,Aarschot,2,3200.0,285797.0,rwc38386,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3200/aarschot/rwc38386,,0,1,Flemish Brabant,apartment,
1973,4.0,1,185,Waterloo,5,1410.0,695000.0,vbd36229,Villa,https://immovlan.be/en/detail/villa/for-sale/1410/waterloo/vbd36229,Normal,0,1,Walloon Brabant,exceptional,ready_to_move_in
,,1,100,Aarschot,3,3200.0,332817.0,rwc38387,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3200/aarschot/rwc38387,,0,1,Flemish Brabant,apartment,
2023,3.0,0,172,Halle,3,1500.0,565000.0,rbu58983,Residence,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbu58983,,0,0,Flemish Brabant,house,
1957,4.0,1,234,Waterloo,5,1410.0,999000.0,vbd36423,Villa,https://immovlan.be/en/detail/villa/for-sale/1410/waterloo/vbd36423,Normal,1,1,Walloon Brabant,exceptional,ready_to_move_in
1961,4.0,1,210,Waterloo,3,1410.0,495000.0,vbd36707,Villa,https://immovlan.be/en/detail/villa/for-sale/1410/waterloo/vbd36707,To be renovated,0,1,Walloon Brabant,exceptional,to_renovate
,,0,112,Aarschot,3,3200.0,342000.0,rwc40974,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3200/aarschot/rwc40974,Excellent,0,1,Flemish Brabant,apartment,ready_to_move_in
,2.0,1,130,Halle,3,1500.0,279000.0,rbu59414,Residence,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbu59414,,0,1,Flemish Brabant,house,
1971,4.0,1,310,Waterloo,5,1410.0,795000.0,vbd36870,Villa,https://immovlan.be/en/detail/villa/for-sale/1410/waterloo/vbd36870,Excellent,0,1,Walloon Brabant,exceptional,ready_to_move_in
1972,3.0,1,106,Halle,2,1500.0,299000.0,rbu60266,Residence,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbu60266,To renovate,0,1,Flemish Brabant,house,to_renovate
2026,4.0,0,93,Rillaar,2,3202.0,325000.0,rbu68618,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3202/rillaar/rbu68618,New,0,1,Flemish Brabant,apartment,ready_to_move_in
1995,4.0,1,343,Waterloo,5,1410.0,1095000.0,vbd37927,Villa,https://immovlan.be/en/detail/villa/for-sale/1410/waterloo/vbd37927,Normal,0,1,Walloon Brabant,exceptional,ready_to_move_in
1970,2.0,1,150,Halle,2,1500.0,469000.0,rbu62551,Residence,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbu62551,,0,1,Flemish Brabant,house,
1971,,0,90,Diest,2,3290.0,214000.0,rbu62095,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3290/diest/rbu62095,,0,1,Flemish Brabant,apartment,
1973,4.0,1,196,Waterloo,4,1410.0,630000.0,vbd39338,Villa,https://immovlan.be/en/detail/villa/for-sale/1410/waterloo/vbd39338,Normal,0,1,Walloon Brabant,exceptional,ready_to_move_in
1978,2.0,1,255,Halle,6,1500.0,520000.0,rbu65706,Residence,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbu65706,,0,1,Flemish Brabant,house,
1971,,0,73,Diest,1,3290.0,169000.0,rbu62097,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3290/diest/rbu62097,,0,1,Flemish Brabant,apartment,
2018,4.0,1,185,Waterloo,5,1410.0,795000.0,vbd40001,Villa,https://immovlan.be/en/detail/villa/for-sale/1410/waterloo/vbd40001,Excellent,0,1,Walloon Brabant,exceptional,ready_to_move_in
1918,2.0,1,160,Halle,2,1500.0,250000.0,rbu65808,Residence,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbu65808,,0,1,Flemish Brabant,house,
2024,2.0,0,110,Molenstede,2,3294.0,333000.0,rbu50918,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3294/molenstede/rbu50918,Excellent,0,1,Flemish Brabant,apartment,ready_to_move_in
1959,2.0,1,305,Halle,6,1500.0,450000.0,rbu67202,Residence,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbu67202,,0,1,Flemish Brabant,house,
2025,2.0,0,120,Molenstede,3,3294.0,365000.0,rbu51300,Apartment,https://immovlan.be/en/detail/apartment/for-sale/3294/molenstede/rbu51300,New,0,1,Flemish Brabant,apartment,ready_to_move_in
